Date,Stock_Price,Strike,Expiry,Days_to_Exp,Actual_Put,Actual_Call,Synthetic_Call_Cost,Actual_Call_Cost,PV_K,Parity_LHS,Parity_RHS,Parity_Error
2025-09-26,3729.5,3750.0,28-Oct-2025,32,84.9,92.85,3814.4,92.85,3730.3257639050494,3823.1757639050493,3814.4,-8.775763905049189
2025-09-29,3688.4,3700.0,28-Oct-2025,29,75.3,90.65,3763.7000000000003,90.65,3682.4036192177336,3773.0536192177337,3763.7000000000003,-9.353619217733467
2025-09-30,3659.0,3650.0,28-Oct-2025,28,64.15,95.05,3723.15,95.05,3633.2386037632964,3728.2886037632966,3723.15,-5.138603763296487
2025-10-01,3670.3,3680.0,28-Oct-2025,27,67.6,75.65,3737.9,75.65,3663.703041920059,3739.3530419200592,3737.9,-1.4530419200591496
2025-10-03,3733.1,3740.0,28-Oct-2025,25,65.35,76.25,3798.45,76.25,3724.661675678124,3800.911675678124,3798.45,-2.4616756781242657
2025-10-06,3737.0,3740.0,28-Oct-2025,22,62.85,75.85,3799.85,75.85,3726.4989481234707,3802.3489481234706,3799.85,-2.4989481234706545
2025-10-07,3729.7,3720.0,28-Oct-2025,21,48.4,79.1,3778.1,79.1,3707.180495710501,3786.280495710501,3778.1,-8.180495710500963
2025-10-08,3729.8,3720.0,28-Oct-2025,20,53.25,72.2,3783.05,72.2,3707.78994533442,3779.9899453344196,3783.05,3.0600546655805374
2025-10-09,3769.2,3760.0,28-Oct-2025,19,49.25,69.7,3818.45,69.7,3748.2747585387833,3817.974758538783,3818.45,0.4752414612166831
2025-10-10,3784.0,3780.0,28-Oct-2025,18,42.65,65.45,3826.65,65.45,3768.8318733218994,3834.281873321899,3826.65,-7.631873321899093
2025-10-13,3769.5,3760.0,25-Nov-2025,43,84.25,127.0,3853.75,127.0,3733.5161763851665,3860.5161763851665,3853.75,-6.7661763851665455
2025-10-14,3744.3,3740.0,25-Nov-2025,42,91.0,141.95,3835.3,141.95,3714.2675621374988,3856.2175621374986,3835.3,-20.917562137498408
2025-10-15,3828.7,3820.0,25-Nov-2025,41,235.85,123.0,4064.5499999999997,123.0,3794.3408116534215,3917.3408116534215,4064.5499999999997,147.20918834657823
2025-10-16,3861.8,3860.0,25-Nov-2025,40,86.3,115.0,3948.1000000000004,115.0,3834.7024392900084,3949.7024392900084,3948.1000000000004,-1.6024392900080784
2025-10-17,3839.4,3840.0,25-Nov-2025,39,77.0,113.9,3916.4,113.9,3815.4606621992866,3929.3606621992867,3916.4,-12.960662199286617
2025-10-20,3872.7,3880.0,25-Nov-2025,36,86.35,109.0,3959.0499999999997,109.0,3857.106709970618,3966.106709970618,3959.0499999999997,-7.056709970618158
2025-10-21,3888.2,3880.0,25-Nov-2025,35,80.9,116.1,3969.1,116.1,3857.740807025381,3973.840807025381,3969.1,-4.740807025380946
2025-10-23,3918.7,3920.0,25-Nov-2025,33,87.25,114.85,4005.95,114.85,3898.792915057199,4013.642915057199,4005.95,-7.692915057199116
2025-10-24,3904.9,3900.0,25-Nov-2025,32,82.4,114.4,3987.3,114.4,3879.538794461251,3993.9387944612513,3987.3,-6.638794461251109
2025-10-27,3923.8,3920.0,25-Nov-2025,29,83.15,116.5,4006.9500000000003,116.5,3901.3573479279776,4017.8573479279776,4006.9500000000003,-10.907347927977298
2025-10-28,3972.8,3980.0,25-Nov-2025,28,96.85,109.15,4069.65,109.15,3961.7231898569644,4070.8731898569645,4069.65,-1.2231898569643818
2025-10-29,3958.1,3960.0,25-Nov-2025,27,93.15,110.05,4051.25,110.05,3942.463055979194,4052.513055979194,4051.25,-1.2630559791941778
2025-10-30,3987.5,3980.0,25-Nov-2025,26,66.7,90.9,4054.2,90.9,3963.0258883238357,4053.925888323836,4054.2,0.27411167616401144
2025-10-31,4030.9,4040.0,25-Nov-2025,25,66.05,79.1,4096.95,79.1,4023.4313288073854,4102.531328807386,4096.95,-5.581328807385944
2025-11-10,3918.5,3920.0,25-Nov-2025,15,47.9,61.05,3966.4,61.05,3910.346153469148,3971.396153469148,3966.4,-4.996153469147885
2025-11-11,3955.0,3960.0,25-Nov-2025,14,51.35,54.6,4006.35,54.6,3950.897053982943,4005.497053982943,4006.35,0.8529460170570928
2025-11-12,3954.6,3960.0,25-Nov-2025,13,47.55,51.45,4002.15,51.45,3951.546569895772,4002.9965698957717,4002.15,-0.8465698957716086
2025-11-13,4002.5,4000.0,30-Dec-2025,47,86.7,121.95,4089.2,121.95,3969.2149665504685,4091.1649665504683,4089.2,-1.964966550468489
2025-11-14,4004.4,4000.0,30-Dec-2025,46,84.3,117.95,4088.7000000000003,117.95,3969.8674938745135,4087.8174938745133,4088.7000000000003,0.8825061254869979
2025-11-17,4027.7,4020.0,30-Dec-2025,43,80.25,118.4,4107.95,118.4,3991.684848156481,4110.084848156481,4107.95,-2.1348481564809845
2025-11-18,3999.6,4000.0,30-Dec-2025,42,79.9,107.05,4079.5,107.05,3972.4786760828865,4079.5286760828867,4079.5,-0.028676082886704535
2025-11-19,4019.6,4020.0,30-Dec-2025,41,78.2,102.95,4097.8,102.95,3992.997398650983,4095.947398650983,4097.8,1.8526013490172772
2025-11-20,4037.4,4040.0,30-Dec-2025,40,73.95,102.7,4111.35,102.7,4013.5227602931695,4116.22276029317,4111.35,-4.872760293169449
2025-11-21,4024.9,4020.0,30-Dec-2025,39,70.45,103.35,4095.35,103.35,3994.3103807398784,4097.660380739879,4095.35,-2.3103807398788376
2025-11-24,4013.3,4020.0,30-Dec-2025,36,69.4,93.2,4082.7000000000003,93.2,3996.2806634231656,4089.4806634231654,4082.7000000000003,-6.7806634231651515
2025-11-25,3996.7,4000.0,30-Dec-2025,35,65.5,89.85,4062.2,89.85,3977.0523783766816,4066.9023783766816,4062.2,-4.702378376681736
2025-11-26,4062.0,4060.0,30-Dec-2025,34,62.95,88.15,4124.95,88.15,4037.3717870605183,4125.521787060518,4124.95,-0.5717870605185453
2025-11-27,4081.3,4080.0,30-Dec-2025,33,61.95,89.65,4143.25,89.65,4057.927319753411,4147.577319753411,4143.25,-4.327319753410848
2025-11-28,4069.6,4060.0,30-Dec-2025,32,56.25,94.4,4125.85,94.4,4038.699360387867,4133.099360387867,4125.85,-7.249360387866545
